Date,Expiry,Strike,Call,Put,Underlying Value
8-Mar-19,28-Mar-19,12600,198.75,1690.85,-
8-Mar-19,28-Mar-19,12700,1.5,1808.9,-
8-Mar-19,28-Mar-19,12800,1.5,1822,-
8-Mar-19,28-Mar-19,12900,1.05,1797.5,-
8-Mar-19,28-Mar-19,13000,0.95,1908.2,-
8-Mar-19,28-Mar-19,13100,80.35,1680.95,-
8-Mar-19,28-Mar-19,13200,58.4,1645.8,-
8-Mar-19,28-Mar-19,13300,1.5,1719.55,-
8-Mar-19,28-Mar-19,13400,3,1741.3,-
8-Mar-19,28-Mar-19,13500,2.95,2700,-
8-Mar-19,28-Mar-19,13600,3,1799,-
8-Mar-19,28-Mar-19,13700,2,1799.15,-
8-Mar-19,28-Mar-19,13800,3,1813.35,-
8-Mar-19,28-Mar-19,13900,19.85,1832.05,-
8-Mar-19,28-Mar-19,14000,0.9,2898.35,-
8-Mar-19,28-Mar-19,14100,1.7,3004.3,-
8-Mar-19,28-Mar-19,7600,3467.9,1.45,-
8-Mar-19,28-Mar-19,7700,2970.55,7.75,-
8-Mar-19,28-Mar-19,7800,2879.65,9.75,-
8-Mar-19,28-Mar-19,7900,2789.15,1.6,-
8-Mar-19,28-Mar-19,8000,3059.55,2.5,-
8-Mar-19,28-Mar-19,8100,2609.7,18.4,-
8-Mar-19,28-Mar-19,8200,2520.85,22.4,-
8-Mar-19,28-Mar-19,8300,2432.65,27.1,-
